,group,name,member_attendance,member_repayment,business_type
436,49-035,Dana Bond,0.839,442.32,"Administrator, charities/voluntary organisations"
437,12-546,Angela Duran,0.895,1787.28,Corporate treasurer
438,66-833,Carol Humphrey,0.921,2316.24,Charity officer
439,15-876,Cassandra Williams,0.947,1599.6,Energy manager
440,87-734,Theresa Edwards,0.874,2185.44,Corporate treasurer
441,05-313,Curtis Fernandez,0.818,2158.08,"Administrator, arts"
442,44-659,Rachel Tran,0.832,609.12,Geographical information systems officer
443,40-969,Gwendolyn Wilson,0.864,1685.04,"Clinical scientist, histocompatibility and immunogenetics"
444,33-004,Danielle Morris,0.846,1952.64,Advertising copywriter
445,33-004,John Butler,0.838,1817.52,Water engineer
446,51-936,Andre Gomez,0.829,1384.08,Data scientist
447,70-869,Vickie Clark,0.887,635.52,Drilling engineer
448,47-016,Brandy Reid,0.866,1598.88,Counsellor
449,53-145,Tracy Wheeler,0.806,2117.04,Government social research officer
450,33-157,David Burton,0.825,777.12,"Conservator, furniture"
451,03-708,Lisa Scott,0.897,2316.24,Glass blower/designer
452,50-038,Mark Estrada,0.827,1030.8,Animal technologist
453,61-027,Heidi Olson,0.939,1919.52,Radio producer
454,96-227,Brandon Turner,0.955,650.4,Arts administrator
455,94-588,Elizabeth Murray,0.973,1545.12,Exhibition designer
456,78-571,Christopher Howard,0.802,380.16,Actuary
457,04-033,Blake Brooks,0.956,622.08,"Scientist, water quality"
458,03-454,Diane Perkins,0.888,1659.84,"Geologist, wellsite"
459,95-718,Kathryn Webster,0.806,656.4,"Lecturer, further education"
460,06-837,Dustin Yates,0.94,2252.4,Forensic psychologist
461,24-414,Brianna Dougherty,0.886,138.0,Structural engineer
462,63-515,Angela Mendez,0.888,2317.2,Politician's assistant
463,60-265,Andrew Ramirez,0.813,1111.2,Meteorologist
464,97-228,Shannon Bradford,0.901,1933.92,Call centre manager
465,49-035,Lindsey Johnson,0.807,2156.64,Chief Strategy Officer
466,17-123,Dwayne Young,0.873,395.28,Air broker
467,40-453,Erin Mahoney,0.842,2097.36,"Accountant, chartered"
468,19-490,Deborah Ramos,0.932,977.76,Arts development officer
469,67-590,Holly Figueroa,0.826,2298.72,Colour technologist
470,57-753,Sheri Smith,0.94,12.0,Financial planner
471,73-429,Jacob Odom,0.99,316.8,"Scientist, physiological"
472,05-980,Sarah Phillips,0.836,309.36,Advertising art director
473,95-590,Abigail Jackson,0.828,959.04,"Designer, ceramics/pottery"
474,78-571,Tammy Woods,0.931,1043.52,"Engineer, electronics"
475,49-035,Jason Parker,0.864,2165.04,"Accountant, chartered"
476,15-106,Tracy Peters,0.968,2304.0,Farm manager
477,47-469,Amy Hampton,0.877,1079.76,Herpetologist
478,42-409,Sharon Johnson,0.924,722.64,"Therapist, art"
479,31-861,Lisa Jones,0.869,1234.8,Government social research officer
480,16-773,Traci Blackburn,0.841,1858.08,Statistician
481,42-289,Kimberly Velasquez,0.851,2038.32,Music therapist
482,84-495,Sheri Glenn,0.823,692.64,"Scientist, research (medical)"
483,70-990,David Wong,0.908,2305.68,Television camera operator
484,06-642,Melinda Sosa,0.836,918.24,Hotel manager
485,86-493,Sara Schmitt,0.839,1104.0,"Psychologist, forensic"
486,42-415,Ann Smith,0.999,2245.92,"Therapist, nutritional"
487,69-331,Kristen Elliott,0.823,1061.04,Aeronautical engineer
488,32-054,Lisa Welch,0.992,1191.6,Pathologist
489,59-130,Kyle Sanders,0.878,217.68,Training and development officer
490,47-469,Alexis Pace,0.958,2388.96,Automotive engineer
491,63-159,Danielle Franklin,0.909,1992.0,Volunteer coordinator
492,75-365,Sydney Jefferson,0.876,1595.76,Textile designer
493,20-169,Diana Mejia,0.804,794.88,Politician's assistant
494,37-889,Karen Hester,0.945,2170.8,"Surveyor, mining"
495,73-973,John Phillips,0.876,2038.56,Industrial/product designer
496,42-409,Mary Evans,0.843,2297.76,Event organiser
497,79-599,Carla Perez,0.921,1473.84,Futures trader
498,79-599,Kimberly Clements,0.864,369.6,Professor Emeritus
499,73-429,Travis Mejia,0.924,2008.56,Arts development officer
500,89-962,Cassandra Thompson,0.903,1505.52,Gaffer
501,23-267,Carlos Mendoza,0.894,2306.88,"Engineer, land"
502,20-388,Erica Jones,0.99,1985.28,Clinical molecular geneticist
503,95-426,Michelle Parker,0.806,661.92,Fashion designer
504,50-884,Caleb Olson,0.901,1476.48,Seismic interpreter
505,96-068,Corey Mitchell,0.979,2153.28,Administrator
506,49-510,Melinda Boone,0.855,305.28,"Designer, television/film set"
507,22-595,Christopher Khan,0.947,2290.8,Magazine features editor
508,57-753,Kimberly Evans,0.875,179.28,Retail buyer
509,85-613,Tonya Pitts,0.852,1852.56,Academic librarian
510,85-613,Julia Ramirez,0.862,160.8,Theatre manager
511,98-730,Brittany Mccoy,0.831,2156.4,"Civil engineer, contracting"
512,79-669,Christina Jackson,0.947,1252.32,Illustrator
513,16-773,Tracey Ortiz,0.959,2293.92,Maintenance engineer
514,94-588,Tabitha Burton,0.912,1963.68,"Engineer, manufacturing systems"
515,58-240,John Beasley,0.815,886.32,Air cabin crew
516,43-604,April Gonzalez,0.864,438.0,Visual merchandiser
517,59-467,Tina Dixon,0.8,1106.88,Speech and language therapist
518,85-787,Stephanie Soto,0.801,99.6,Illustrator
519,40-846,Casey Hunter,0.814,309.12,Mental health nurse
520,93-525,Regina Patterson,0.911,1006.8,"Social research officer, government"
521,82-819,Thomas Marquez,0.808,1807.68,Community development worker
522,63-924,Wesley Coleman,0.927,1055.52,Broadcast journalist
523,83-200,Juan Huang,0.825,2297.52,Operational researcher
524,02-760,Melissa Morse,0.941,326.64,Heritage manager
525,73-973,Alexander Scott,0.903,240.48,"Surveyor, hydrographic"
526,89-246,Patricia Williams,0.958,88.08,Facilities manager
527,39-585,Rachel Clayton,0.902,1060.56,Midwife
528,58-240,Crystal Torres,0.88,1564.8,Further education lecturer
529,06-837,Joan Brown,0.854,326.88,"Surveyor, hydrographic"
530,71-077,Sarah Costa,0.847,969.36,Microbiologist
531,03-846,Julie Cline,0.852,1062.48,Patent examiner
532,37-889,Christopher Friedman,0.984,1368.0,Sales executive
533,31-914,Jessica Smith,0.987,638.64,Special educational needs teacher
534,53-309,Emily Jensen,0.958,775.2,Advertising copywriter
535,10-628,April Adams,0.889,1744.56,"Engineer, broadcasting (operations)"
536,67-353,Sarah Pierce,0.913,803.04,"Pharmacist, hospital"
537,24-581,Danielle Rodriguez,0.881,742.56,Environmental consultant
538,13-477,John Jordan,0.859,873.36,Computer games developer
539,93-525,Natalie Fisher,1.0,2108.88,Information officer
540,16-088,Kimberly Charles,0.91,342.72,Chief Operating Officer
541,41-354,Phillip Washington,0.855,415.44,Risk analyst
542,03-708,Jessica Pena,0.967,1369.92,Building control surveyor
543,51-604,Ellen Smith,0.973,1818.96,Editorial assistant
544,12-546,Sonya Farmer,0.814,1027.68,"Journalist, magazine"
545,90-927,Adrienne Thompson,0.893,1222.08,"Engineer, technical sales"
546,10-628,Paul Wright,0.956,1701.36,Systems developer
547,24-244,Tammy Howe,0.808,935.04,Make
548,03-454,Patricia Taylor,0.958,857.76,Charity officer
549,51-936,Emily Nguyen,0.826,955.2,"Teacher, secondary school"
550,96-922,Rachel Conner,0.892,1958.64,Osteopath
551,89-616,Rachel Fields,0.955,2278.08,Homeopath
552,93-944,Nicole Flores,0.914,2338.32,"Producer, television/film/video"
553,26-581,Sarah Hicks,0.806,1632.0,Fast food restaurant manager
554,61-387,Sandra Curtis,0.889,2212.32,Technical sales engineer
555,09-041,Heather Alexander,0.881,34.8,Operations geologist
556,83-489,Craig Padilla,0.953,1046.4,"Engineer, building services"
557,89-641,Jennifer Daniels,0.856,1084.32,Dramatherapist
558,45-726,Amy Thomas,0.929,854.16,"Solicitor, Scotland"
559,80-167,Courtney Anderson,0.821,386.16,Gaffer
560,24-230,Jeffrey Lee,0.812,2064.96,"Surveyor, insurance"
561,37-889,Denise Woods,0.846,1679.52,"Teacher, early years/pre"
562,12-637,Eric Harris,0.851,1890.96,Professor Emeritus
563,94-607,Rebecca Fox,0.966,259.68,"Doctor, general practice"
564,83-200,David Chung,0.898,2392.8,Magazine journalist
565,81-749,Denise Jordan,0.844,298.56,Airline pilot
566,37-889,Cynthia Acosta,0.964,501.36,Mechanical engineer
567,75-170,Tina Foster,0.931,706.08,Exhibition designer
568,96-227,Michelle Wilkins,0.971,432.0,"Designer, fashion/clothing"
569,47-469,Melissa Stewart,0.972,23.28,Museum/gallery curator
570,80-821,Lisa Richards,0.87,648.24,Dance movement psychotherapist
571,59-100,Kelly Lawrence,0.806,1761.12,"Surveyor, building"
572,64-593,Jennifer Mcgee,0.839,1015.68,Local government officer
573,43-123,Kimberly Sanchez,0.907,2229.12,Oncologist
574,95-426,Cathy Edwards,0.906,159.36,Glass blower/designer
575,06-191,Chelsea Stephenson,0.894,988.8,Minerals surveyor
576,83-200,Mary King,0.889,323.04,Medical laboratory scientific officer
577,83-489,Melissa Ryan,0.863,2343.84,Clinical embryologist
578,50-884,Lindsay Pham,0.831,1275.6,Pharmacologist
579,94-588,Rachel Hurst,0.959,1632.96,Industrial/product designer
580,91-588,Daniel Ortiz,0.957,596.88,"Engineer, control and instrumentation"
581,67-140,Raymond Rodriguez,0.881,348.48,"Therapist, occupational"
582,86-493,Shaun Holloway,0.831,1183.92,"Education officer, community"
583,74-635,Julia Massey,0.906,335.52,"Librarian, public"
584,51-893,Dakota Sanders,0.836,103.92,Cabin crew
585,06-191,Brittany Cunningham,0.972,2380.08,Community education officer
586,20-157,Jerry Weeks,0.924,899.52,"Scientist, physiological"
587,19-490,Cheryl Smith,0.854,323.52,"Pharmacist, community"
588,57-857,Courtney Montoya,0.987,1244.4,Sports administrator
589,74-142,Joanna Smith,0.985,597.84,Operational investment banker
590,37-889,Dawn Thompson,0.886,1545.36,Special effects artist
591,07-962,Kimberly Cortez,0.969,744.72,"Programmer, systems"
592,74-520,Christine Myers,0.834,1376.88,Electrical engineer
593,31-950,Jean Stewart,0.927,2010.72,Editorial assistant
594,90-528,Alyssa Cabrera,0.854,1356.96,Diplomatic Services operational officer
595,15-803,Johnny Andrews,0.877,1527.36,Financial planner
596,06-191,Deborah Davis,0.99,1425.12,Brewing technologist
597,61-180,Laurie Baker,0.935,1511.52,Museum/gallery conservator
598,38-067,Dustin Castillo,0.97,614.64,Town planner
599,76-192,Wendy Mann,0.97,2197.44,Dance movement psychotherapist
600,79-599,David Kirby,0.827,1650.24,"Doctor, hospital"
601,67-590,Lorraine Johnson,0.941,1736.4,Toxicologist
602,05-313,Wendy White,0.99,348.96,Ecologist
603,66-833,Roberta Anderson,0.884,2207.04,Plant breeder/geneticist
604,42-289,Jay Kerr,0.96,2300.4,"Scientist, research (maths)"
605,57-753,Kevin Johnson,0.927,1702.32,Probation officer
606,07-414,Miranda Alexander,0.845,1345.2,Agricultural consultant
607,73-770,Lynn Morgan,0.809,1809.36,Minerals surveyor
608,83-440,Brenda Johnson,0.883,2072.16,Dance movement psychotherapist
609,15-803,Taylor Benton,0.891,1325.76,Hydrogeologist
610,05-955,Catherine Garcia,0.914,1803.12,Armed forces technical officer
611,83-489,Sarah Cooper,0.859,889.44,Airline pilot
612,66-833,Michelle Sullivan,0.996,102.48,Colour technologist
613,22-595,Brianna Diaz,0.966,919.92,Agricultural consultant
614,15-803,Raymond Johnson,0.894,1244.88,"Optician, dispensing"
615,15-108,Dwayne Wilson,0.807,412.32,Medical illustrator
616,55-857,Alexandra Flowers,0.834,2015.28,Learning disability nurse
617,24-581,Joseph Ayala,0.84,1101.36,Quality manager
618,26-871,Thomas Pratt,0.987,1203.12,Multimedia specialist
619,21-688,Thomas Haas,0.898,1748.64,Research scientist (life sciences)
620,47-469,Jennifer Cross,0.996,2220.96,Psychiatric nurse
621,44-831,Tammie Sweeney,0.801,891.6,Television production assistant
622,93-791,Michelle Moore,0.844,67.44,Software engineer
623,75-843,Andrew Smith,0.816,2264.4,Animator
624,67-590,Sandra Robinson,0.983,1948.56,Lexicographer
625,93-791,Jane Carlson,0.804,774.48,Media buyer
626,16-656,Lisa Mckinney,0.877,123.12,Primary school teacher
627,06-837,Stephanie Potts,0.835,903.84,Community pharmacist
628,47-016,Jared Clayton,0.808,988.08,"Therapist, drama"
629,75-170,Joel Serrano,0.956,932.64,Barrister
630,70-235,Lori Rogers,0.84,2231.04,Retail merchandiser
631,24-034,Jessica Shah,0.816,1524.24,Public affairs consultant
632,31-914,Monica Rivera,0.995,192.0,Operations geologist
633,95-426,Courtney Moore,0.81,1677.84,"Administrator, arts"
634,69-199,Nicole Li,0.966,417.84,Corporate investment banker
635,77-737,Laura Johnson,0.95,2193.36,"Librarian, academic"
636,43-604,Christina Taylor,0.894,235.68,"Development worker, international aid"
637,99-440,Alexis Cross,0.838,484.08,"Scientist, product/process development"
638,78-149,Christine Smith,0.861,1005.12,Telecommunications researcher
639,45-243,Tracy Lee,0.809,70.08,Tax adviser
640,54-940,Katie Miller,0.815,2048.4,Company secretary
641,03-454,James Hale,0.861,2317.68,Risk manager
642,42-386,Tracey Le,0.819,1256.88,Art therapist
643,74-635,Kari Swanson,0.912,1844.16,Tour manager
644,94-805,Amanda Gonzales,0.935,1565.28,Social researcher
645,21-642,Peter Mccarthy,0.935,1524.72,Toxicologist
646,04-033,Sharon Davis,0.892,765.84,Optometrist
647,95-426,Karen Cuevas,0.98,1086.0,Airline pilot
648,38-955,Barbara Anderson,0.951,1167.6,Electronics engineer
649,15-108,Christy Goodwin,0.862,1425.12,"Engineer, electronics"
650,07-542,Ashley Guzman,0.873,677.04,"Psychologist, occupational"
651,91-588,Shelly Robles,0.913,641.04,Warehouse manager
652,54-084,Briana Howard,0.922,630.0,Physiological scientist
653,05-980,Barbara Terry,0.968,912.48,Fine artist
654,76-192,Christine Hudson,0.936,238.8,Systems developer
655,03-846,Eric May,0.892,1257.6,Public house manager
656,70-990,Dawn Cohen,0.817,2229.12,Merchant navy officer
657,51-604,Brittany Howard,0.949,1110.48,Dentist
658,50-436,Susan Reed,0.842,1679.28,"Engineer, automotive"
659,85-550,Dana Baker,0.907,471.6,Market researcher
660,57-731,Amanda Martinez,0.954,1448.4,Network engineer
661,58-240,Karen Stevenson,0.91,1024.32,"Engineer, electrical"
662,20-388,Michele English,0.91,867.36,Senior tax professional/tax inspector
663,74-520,Nicole Hunt,0.996,330.24,"Radiographer, diagnostic"
664,64-593,Lauren Shannon,0.831,801.36,Clinical embryologist
665,80-821,Nancy Schroeder,0.961,802.32,Production manager
666,28-902,Sonya Figueroa,0.966,1073.28,Chief Strategy Officer
667,94-842,Colleen Woods,0.968,61.44,"Teacher, English as a foreign language"
668,78-777,Stephanie Rogers,0.9,2162.4,Gaffer
669,34-169,Jennifer Miranda,0.915,2059.92,Risk analyst
670,10-334,William Brown,0.876,1258.56,Electronics engineer
671,75-843,Jacob Short,0.81,25.2,Bonds trader
672,80-426,Benjamin Collins,0.949,2025.84,Planning and development surveyor
673,78-571,Theresa Nixon,0.994,1837.2,Civil Service administrator
674,95-718,Anna Hatfield,0.904,1246.08,Newspaper journalist
675,81-749,Nicole Robinson,0.868,218.16,Exhibition designer
676,73-770,Tiffany Mercer,0.836,2253.36,Psychiatric nurse
677,62-636,Ralph Bailey,0.878,944.88,Applications developer
678,29-070,Michael Jones,0.983,2161.44,Cabin crew
679,78-149,Carrie Garcia,0.938,654.0,Farm manager
680,47-598,Miguel Nguyen,0.938,324.72,Comptroller
681,78-682,Alejandro Townsend,0.843,2120.4,Astronomer
682,03-052,Kyle Hernandez,0.875,154.32,"Engineer, structural"
683,58-451,Elizabeth Coleman,0.855,1945.2,Chief Technology Officer
684,92-237,Rachel Smith,0.985,259.44,"Restaurant manager, fast food"
685,64-593,Kelly Hill,0.872,1150.56,Housing manager/officer
686,80-167,Mary Marshall,0.952,1730.16,"Surveyor, quantity"
687,30-352,Marissa Carroll,0.915,2265.6,Graphic designer
688,85-613,Russell Lee,0.885,3.12,Academic librarian
689,81-117,Vicki Horton,0.995,1575.84,Chief Marketing Officer
690,31-950,Whitney Chapman,0.81,1206.96,"Surveyor, mining"
691,51-893,Michelle Powers,0.987,1945.68,Oncologist
692,64-593,Richard Colon,0.908,2070.0,Art gallery manager
693,63-515,Andrea Smith,0.993,2162.16,Clinical biochemist
694,64-841,Amanda Fisher,0.973,2028.0,Mudlogger
695,40-453,Robert Lewis,0.836,401.28,Careers information officer
696,80-426,Kathy Klein,0.872,2286.0,"Administrator, education"
697,85-787,Karen Valencia,0.82,1681.44,"Teacher, English as a foreign language"
698,41-354,Emily Brown,0.843,960.0,Publishing rights manager
699,66-833,Juan Salazar,0.826,1700.88,"Merchandiser, retail"
700,61-027,Mary Harper,0.823,92.4,"Presenter, broadcasting"
701,79-599,Erin Campbell,0.933,1774.56,Data processing manager
702,30-490,Carla Jones,0.877,2152.08,Geochemist
703,11-185,Roger Mcdaniel,0.829,1872.0,Medical illustrator
704,19-490,Christine Vasquez,0.808,992.88,Environmental manager
705,56-440,Amber Lewis,0.837,388.56,Animator
706,85-921,Debra Key,0.815,1948.56,Stage manager
707,34-818,Tiffany Taylor,0.985,41.04,Pathologist
708,15-624,Sarah Rodriguez,0.965,2028.96,Contracting civil engineer
709,91-588,Charles Aguilar,0.912,635.76,Civil Service fast streamer
710,09-876,Jamie Brooks,0.836,447.6,Exercise physiologist
711,74-142,Justin Casey,0.937,564.96,Software engineer
712,30-944,Kevin Johnson,0.973,1469.04,Pharmacologist
713,76-192,Christine Wallace,0.977,385.92,Consulting civil engineer
714,80-804,Chelsea Huffman,0.917,1388.16,"Lecturer, further education"
715,58-240,Cindy Tucker,0.882,174.48,"Surveyor, insurance"
716,71-077,Cody Bowman,0.891,543.6,"Engineer, maintenance"
717,63-515,Arthur Gordon,0.953,1589.04,Advice worker
718,07-542,Donna Griffin,0.977,1566.24,Soil scientist
719,57-753,Bruce Best,0.877,2087.28,Environmental education officer
720,29-666,Sarah Wilson,0.8,1541.76,Product designer
721,42-386,Eric Young,0.931,423.84,Video editor
722,20-169,Allison Flynn,0.914,352.8,Bonds trader
723,67-590,Ricardo Best,0.913,44.16,Landscape architect
724,85-550,Sandra Lee,0.913,2235.84,Medical secretary
725,99-440,Darrell Brooks,0.847,1359.84,Make
726,83-200,Isabel Benson,0.89,2277.12,Data scientist
727,22-318,Gregory Martinez,0.968,682.08,Sub
728,50-091,Jessica Garcia,0.874,1663.92,Prison officer
729,70-869,Sarah Yates,0.947,1908.24,Product/process development scientist
730,53-198,Danielle Kemp,0.963,1680.24,Photographer
731,03-512,Jill Wilson,0.881,1314.24,"Librarian, public"
732,83-489,Diana Mitchell,0.948,1085.52,Research scientist (life sciences)
733,04-248,Katherine Morales,0.909,1717.92,Materials engineer
734,21-642,Gloria Russell,0.891,872.4,"Administrator, Civil Service"
735,80-426,Taylor Hernandez,0.927,673.92,Charity officer
736,04-248,William Hernandez,0.819,2289.6,"Scientist, research (life sciences)"
737,83-489,Pamela Woodard,0.992,1197.84,Government social research officer
738,75-268,Kathleen Franklin,0.845,286.56,Special educational needs teacher
739,59-609,Katherine Ramsey,0.802,1280.88,Orthoptist
740,47-598,Loretta Hill,0.981,869.04,"Radiographer, diagnostic"
741,85-921,Cynthia Moon,0.857,2227.44,Hydrologist
742,95-426,Jennifer Meyer,0.836,477.36,"Presenter, broadcasting"
743,93-574,Linda Mills,0.827,260.88,Mechanical engineer
744,14-734,Robert Wright,0.889,52.56,Airline pilot
745,30-490,Heather Bishop,0.893,1758.72,"Production designer, theatre/television/film"
746,88-780,Margaret Calderon,0.916,966.72,Equities trader
747,90-927,Marcus Hodges,0.944,496.08,Audiological scientist
748,59-130,Shannon Roy,0.94,1834.08,Sports development officer
749,59-370,Jennifer Mcconnell,0.827,1203.12,Optometrist
750,51-936,Craig Klein,0.849,647.28,Medical secretary
751,53-145,Tonya Peterson,0.866,2191.44,Industrial/product designer
752,93-574,Erika Campos,0.832,2014.08,Advertising copywriter
753,24-581,William Mathews,0.878,1218.0,Tax adviser
754,64-593,Karen Parker,0.965,978.24,Race relations officer
755,85-787,Sarah Butler,0.82,93.6,Garment/textile technologist
756,62-560,James Cook,0.982,1558.8,Network engineer
757,61-640,Kristen Parker,0.916,495.84,Pharmacologist
758,63-924,Jessica Perkins,0.926,2209.2,"Accountant, chartered certified"
759,33-902,David Martinez,0.941,2311.44,Academic librarian
760,03-193,Peter Clark,0.854,796.56,"Loss adjuster, chartered"
761,03-193,Holly Parker,0.884,1165.2,Chartered certified accountant
762,07-414,William Middleton,0.94,2016.0,"Engineer, petroleum"
763,39-499,Heidi Richardson,0.843,568.56,Probation officer
764,18-725,Angela Mendez,1.0,520.32,"Therapist, music"
765,95-378,Emily Garcia,0.914,783.12,Health and safety adviser
766,55-857,Margaret Young,0.883,746.4,Printmaker
767,26-871,Laura Mckenzie,0.876,593.52,Heritage manager
768,12-637,Elijah Morse,0.94,1882.56,"Administrator, charities/voluntary organisations"
769,33-004,Shawn Riley,0.892,1511.28,Public house manager
770,98-284,Nancy Kim,0.867,1591.44,Operational investment banker
771,57-493,Patricia Jacobs,0.957,87.84,Passenger transport manager
772,59-370,Sandra Oliver,0.874,493.68,"Geologist, engineering"
773,18-557,Kristin Jennings,0.87,1546.32,Music tutor
774,89-616,Jean Duke,0.883,1600.8,Systems developer
775,63-159,Colleen Mcmahon,0.884,2074.32,Commercial horticulturist
776,91-588,Robert Powers,0.978,2038.56,Surgeon
777,60-598,Carrie Wagner,0.809,15.36,Publishing copy
778,57-088,Joshua Robles,0.947,2082.0,"Teacher, early years/pre"
779,75-174,Tanner Moore,0.989,917.52,Aeronautical engineer
780,93-347,Sarah Farmer,0.857,365.52,Training and development officer
781,42-415,Tara Morris,0.819,195.36,Patent attorney
782,96-922,Sarah Myers,0.825,691.68,Chartered certified accountant
783,93-525,Scott Ramirez,0.837,388.56,Adult nurse
784,76-192,Lisa Phillips,0.926,1586.16,Make
785,30-457,Lindsay Fleming,0.967,1583.28,"Engineer, electrical"
786,05-313,Tanya Gomez,0.895,611.76,Land/geomatics surveyor
787,12-950,Martha Freeman,0.905,769.92,Emergency planning/management officer
788,28-902,Kaitlin Morales,0.956,379.44,Risk analyst
789,61-387,Megan Baker,0.99,1995.6,Geophysicist/field seismologist
790,95-426,Ronald Pitts,0.925,780.96,Facilities manager
791,07-414,Pamela Carr,0.807,2102.4,Technical brewer
792,42-409,Heather Torres,0.981,949.68,Primary school teacher
793,42-774,James Hanson,0.906,1080.24,Actor
794,07-414,Ashley Chavez,0.982,572.64,Farm manager
795,66-695,Jenny Ellis,0.954,368.64,Barrister's clerk
796,00-598,Deborah Taylor,0.83,856.56,"Development worker, international aid"
797,92-476,Melissa Browning,0.817,2330.16,Adult guidance worker
798,79-599,Angela Osborne,0.916,1150.8,Minerals surveyor
799,62-099,Justin Ramos,0.81,2097.6,Hotel manager
800,45-243,Stacey Boyd,0.855,1589.28,"Conservation officer, nature"
801,20-388,Sandra Howell,0.925,269.28,"Surveyor, commercial/residential"
802,18-725,Carolyn Levy,0.916,1227.12,Broadcast engineer
803,22-136,Cynthia Martinez,0.928,1818.72,Herbalist
804,44-274,Bethany Acosta,0.894,2316.24,Town planner
805,28-902,Luis Farrell,0.966,2280.24,Land
806,47-016,Lisa Lee,0.898,882.48,Music therapist
807,61-640,Erik Poole,0.952,811.68,"Loss adjuster, chartered"
808,90-528,Jasmine Moreno,0.857,585.36,"Editor, magazine features"
809,28-902,Dylan Moses,0.831,1049.28,Energy engineer
810,33-004,Donna Willis,0.931,510.48,Orthoptist
811,16-656,Cassandra Leon,0.94,1064.88,Commercial art gallery manager
812,49-675,Glenda Pierce,0.963,2122.08,Furniture designer
813,80-167,Kelly Reyes,0.961,747.6,"Surveyor, planning and development"
814,03-846,Kristina Meadows,0.933,604.32,"Journalist, newspaper"
815,51-936,Richard Armstrong,0.904,741.12,Product manager
816,45-726,Susan Bradshaw,0.962,413.04,Dispensing optician
817,62-560,Michael Sanders,0.836,578.64,Sales promotion account executive
818,94-588,Wendy Hess,0.907,1665.84,Psychiatrist
819,06-920,Amy Alvarado,0.927,1931.76,Press sub
820,15-111,Carla Figueroa,0.802,593.28,Management consultant
821,22-595,Martha Johnson,0.864,2164.8,Early years teacher
822,30-944,Philip Roberts,0.933,1679.76,"Administrator, charities/voluntary organisations"
823,81-749,Julie Mcdaniel,0.995,2370.48,Herbalist
824,50-038,Christine Huff,0.846,2388.0,"Teacher, adult education"
825,69-199,Sheryl Stewart,0.903,1711.2,Copy
826,12-546,Melissa Boone,0.831,1373.76,Financial adviser
827,06-920,Toni White,0.83,1742.64,Press sub
828,16-656,Peter Owens,0.869,1308.72,"Geologist, engineering"
829,08-592,Jeanne Briggs,0.948,2007.12,Barrister
830,42-415,Jennifer Leonard,0.818,431.04,Television production assistant
831,15-106,Shelia Matthews,0.851,1574.64,"Conservation officer, nature"
832,38-215,Kelly Brown,0.961,831.12,Dispensing optician
833,33-004,George Wallace,0.925,2355.36,Insurance broker
834,44-274,Melinda James,0.978,1348.08,Further education lecturer
835,09-041,Jessica Booth,0.924,2136.96,Local government officer
836,95-426,Julie Conrad,0.965,1507.2,Broadcast engineer
837,09-876,Kayla Gray,0.974,1278.48,"Surveyor, insurance"
838,93-347,Jennifer Roach,0.96,1256.88,Pathologist
839,09-876,Susan Greene,0.886,384.24,Occupational therapist
840,79-050,Robin Lopez,0.85,76.32,Further education lecturer
841,69-331,Peter Williams,0.926,1421.28,Trade mark attorney
842,24-034,Phillip Burnett,0.888,1942.8,Sales executive
843,41-194,Michele Berry,0.923,1085.52,"Engineer, broadcasting (operations)"
844,47-016,Holly Strong,0.94,936.48,Software engineer
845,08-711,Karen Wood,0.951,530.16,Data scientist
846,44-274,Jacob Miller,0.911,743.04,"Designer, furniture"
847,03-512,Emma Wagner,0.956,80.4,Chiropodist
848,02-760,James Delacruz,0.812,1448.4,Adult guidance worker
849,64-841,Douglas Guzman,0.826,521.52,Field seismologist
850,71-497,Lauren Flowers,0.897,231.36,Surgeon
851,95-426,Samantha Adams,0.935,2125.68,Product/process development scientist
852,96-068,Amber Larson,0.974,2330.16,"Scientist, research (physical sciences)"
853,08-592,Richard Park,0.96,1087.68,Legal executive
854,38-215,Stacey Gonzalez,0.972,1526.88,Radio broadcast assistant
855,21-642,Peter Moran,0.879,1164.48,Operational investment banker
856,51-604,Alexandria Carlson,0.802,1661.52,"Geneticist, molecular"
857,39-499,Susan Duarte,0.875,1254.96,Patent examiner
858,73-429,Meagan Villarreal,0.826,510.0,"Teacher, early years/pre"
859,26-871,Jessica Cook,0.951,423.12,Senior tax professional/tax inspector
860,14-734,Kristine Reed,0.956,370.08,"Librarian, academic"
861,06-191,John Hamilton,0.948,2198.64,Occupational therapist
862,15-876,Kelly Johnson,0.879,1864.8,Lexicographer
863,03-193,Kimberly Moran,0.881,756.72,"Designer, blown glass/stained glass"
864,10-628,Alyssa Mora,0.887,1457.28,"Surveyor, mining"
865,69-609,Andrew Wilson,0.97,1801.92,Translator
866,91-588,Donald Brown,0.812,220.08,Sport and exercise psychologist
867,75-365,Bethany Johnson,0.903,2346.96,Call centre manager
868,79-669,Amber Bauer,0.877,376.32,Writer
869,53-145,Danielle Adams,0.911,1626.96,"Engineer, building services"
870,69-199,Julie Perez,0.818,1951.2,Intelligence analyst
871,44-274,Karen Moore,0.982,2101.92,"Nurse, mental health"
872,83-303,Sherry Graham,0.901,299.28,Facilities manager
873,61-180,Kathleen Carr,0.808,1608.48,Warehouse manager
874,86-493,Kim Rosales,0.96,496.32,Museum/gallery exhibitions officer
875,12-112,Timothy Brown,0.986,576.96,Mental health nurse
876,84-223,Marilyn Bennett,0.94,1532.4,Corporate investment banker
